Abstracts Corrections Errata,"Spiral Notice: Action Required OTHER
Dear INSERT AUTHOR NAME,

Thank you for submitting your item. Please note that conference abstracts/corrections/errata etc. are out of scope of the next Research Excellence Framework (REF) which is scheduled for 2029 and are not required to be deposited in Spiral.

If you do want your conference abstract/correction/erratum etc. in Spiral then please remove this file from the Symplectic record and replace it with the accepted version of your conference abstract/correction/erratum etc. If you do not have a copy, or do not want the conference conference abstract/correction/erratum etc. in Spiral then you can ignore this message.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/"
Academic Social Networking site (ResearchGate),"Spiral Notice: Action Required OTHER
Dear INSERT AUTHOR NAME,

Thank you for providing a link to your paper. We can generally only approve links to manuscripts deposited in other open access repositories as an alternative to the manuscript being uploaded. In this case, the URL is from an Academic Social Networking Site (such as ResearchGate). These sites are not recognised as an institutional or subject open access repository, and therefore do not meet the open access requirements of the Research Excellence Framework (REF), your funder(s) (if any), and the College (Please see our guide on how to use academic social network sites: https://spiral.imperial.ac.uk/handle/10044/1/74076).

If you have a co-author who has already deposited this paper in another repository, please provide a URL link to it. If not, please can you return to the record in Symplectic and upload a copy of your accepted manuscript.

If you encounter any problems please reply to this message, or contact the open access team at openaccess@imperial.ac.uk

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
ASME request for permission,"Spiral Notice: Action Required WOAL
Dear INSERT AUTHOR NAME,

Thank you for depositing your work. Do you have permission from the publisher to deposit your work in Spiral? You can only deposit the accepted manuscript after obtaining permission from ASME. Please see their self archiving policy: https://www.asme.org/publications-submissions/journals/information-for-authors/open-access 

If you do not have permission, please send your request to Journal_repository@asme.org. Please include the following informaion in your request: ASME paper number, title, DOI, URL of paper, and description and link of funder, governmental, or institutional repository.

If you encounter any problems please reply to this message, or contact the open access team at openaccess@imperial.ac.uk.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/ "
Blank template,"Spiral Notice: Action Required OTHER
Dear INSERT AUTHOR NAME,

Thank you for submitting your paper. Unfortunately I was unable to approve your submission, INSERT TEXT.

If you have any questions or concerns, please do not hesitate to contact us via openaccess@imperial.ac.uk.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Cleaner version,"Spiral Notice: Action Required OTHER
Dear INSERT AUTHOR NAME,
Thank you for submitting your paper to Spiral, via Symplectic. However, the file provided has retained highlighted edits, corrections and review comments which we do not think would be suitable to be placed online. Do you have a cleaner version of this accepted manuscript available?

If you do, please return to the record in your Symplectic profile, delete the file and upload a cleaner version of the file. Delaying this may result in your output being non-compliant, despite being deposited in Spiral. If you do not have an alternative version, and are happy for this version to be published in Spiral as-is, please confirm, and I will proceed to complete the deposit in Spiral.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Conference - request for more information,"Spiral Notice: Action Required CQ
Dear INSERT AUTHOR NAME,
Thank you for submitting your paper. Unfortunately I was unable to approve your submission as there is insufficient information to process it. Please can you supply the following:

1. Conference name

2. The location, start and end date of the conference

3. Proof of permission from the copyright holder to add this paper to Spiral. (If you need to contact the publisher, please feel free to use our permissions request template, available here: https://imperiallondon.sharepoint.com/:w:/s/ScholarlyCommunicationsManagement/ETxW0ml5ipJFtJodvKy96iMBJJiN82TEAtSo59BjMPmvSg?e=8lUr77)

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Conference - wrong version,"Spiral Notice: Action Required WV
Dear INSERT AUTHOR NAME,

Thank you for depositing your work in Spiral via Symplectic. Unfortunately, I am unable to approve your submission because the publisher, INSERT PUBLISHER NAME, does not permit the published version to be deposited in Spiral unless a fee was paid for immediate (gold) open access. Please see the following link: COPY LINK FROM SHERPA/ROMEO. Can you please go back to your Symplectic account and deposit the accepted version of your conference paper?

Please note that conference abstracts are out of scope for REF and don't need to be deposited in institutional repositories. Therefore, if you do not wish to deposit a conference abstract, no action is required to this email.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Copyright query - conference papers,"Spiral Notice: Action Required CQ
Dear INSERT AUTHOR NAME,

Thank you for submitting your paper. Unfortunately I was unable to find any information regarding the conference’s copyright policy on the organiser’s website. Imperial must ensure that it complies with conference organisers’ copyright policies before any papers can be uploaded to Spiral.

Please can you verify whether you have permission to upload your paper? If you need to contact the publisher, please feel free to use our permissions request template, available at: https://imperiallondon.sharepoint.com/:w:/s/ScholarlyCommunicationsManagement/ETxW0ml5ipJFtJodvKy96iMBJJiN82TEAtSo59BjMPmvSg?e=8lUr77

If permission has been granted, please send evidence of this to openaccess@imperial.ac.uk. As soon as we have received your response we can proceed to upload your paper to Spiral.

If you encounter any problems please reply to this message, or contact the open access team at openaccess@imperial.ac.uk

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Copyright query - journal articles,"Spiral Notice: Action Required CQ
Dear INSERT AUTHOR NAME,

Thank you for submitting your paper. Unfortunately I was unable to find any information of the publisher’s copyright policy either on Sherpa Romeo or on the publisher's website. Imperial must ensure that it complies with publishers’ copyright policies before any papers can be uploaded to Spiral.

Please can you verify whether you have permission to upload your paper? If you need to contact the publisher, please feel free to use our permissions request template, available at: https://imperiallondon.sharepoint.com/:w:/s/ScholarlyCommunicationsManagement/ETxW0ml5ipJFtJodvKy96iMBJJiN82TEAtSo59BjMPmvSg?e=8lUr77 

Once permission has been granted, please send evidence of this to openaccess@imperial.ac.uk. As soon as we have received your response we can proceed to upload your paper to Spiral.

If you encounter any problems please reply to this message, or contact the open access team at openaccess@imperial.ac.uk.

Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
Duplicate record,"Spiral Notice: Action Required DR
Dear INSERT AUTHOR NAME,

Thank you for submitting your paper. Please note that this submission is a duplicate of the following item which is already live in Spiral with the following identifier: INSERT SPIRAL HANDLE. Therefore, this submission has been rejected. No action is required by you in response to this email.

If you have any questions or concerns, please do not hesitate to contact us.
Kind regards, INSERT STAFF NAME HERE

Imperial Open Access Team


Please log into Symplectic here: https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/symplectic/

See: Symplectic & Spiral - what's the relationship? https://www.imperial.ac.uk/research-and-innovation/support-for-staff/scholarly-communication/open-access/symplectic-spiral-relationship/
"
